length_m,width_m,height_m,wall_thickness_m,roof_thickness_m,orientation,primary_material,insulation_thickness_m,pcm_thickness_m,occupant_count,equipment_load_w,air_changes_per_hour,region,season,hour,ambient_temp_c,solar_irradiance_peak_w_m2,wind_speed_m_s,envelope_r_wall,envelope_r_roof,room_volume_m3,predicted_indoor_temp_c,actual_indoor_temp_c,surrogate_error_c
3.0129301320571185,2.7627378899462216,3.0166484392720134,0.41877607154341545,0.2718180732869615,east,insulated-composite,0.12837866819597504,0.02335828897574561,8,166.2102751739795,0.7793579133282882,ladakh,winter,12,-18.2,213.125,14.5,8.69905206070378,4.293091938462059,10.657766619030104,-1.2479606,0.8672,-2.115160567474365
3.0963954232932682,2.716970420400306,2.5211631741154017,0.22527945504605057,0.21550394860946526,south,insulated-composite,0.14750926449141782,0.03968988715029531,8,159.0993785938306,1.2177277133873863,ladakh,winter,12,-18.2,213.125,14.5,7.23768201559701,4.930489640083841,12.626699941817245,-1.2607956,0.0358,-1.2965955932617188
3.0460745561848004,2.5384017390862375,2.4189219963976107,0.34888661556098677,0.2774110544419943,north,insulated-composite,0.07568241994761307,0.055323725315256526,8,150.3661589107351,0.46931986773654916,ladakh,winter,12,-18.2,213.125,14.5,6.538749451191858,2.9144233681887672,8.39189052706188,-1.2707402,1.8455,-3.1162401514053344
3.086891301879245,2.7511478146054933,2.8037671358741636,0.34055238690626366,0.2895558686419348,south,rammed-earth,0.10334585588502081,0.05812115792892125,8,173.0121698848066,1.1098286883369555,ladakh,winter,12,-18.2,213.125,14.5,4.780472125459061,3.782399596625501,11.52496108944276,-1.2756556,-0.3227,-0.9529556272506714
3.4444364466832833,2.593801595955925,2.5916491626382427,0.4230592331571609,0.23862343408534303,south,insulated-composite,0.12237288624040163,0.006408006839566047,8,151.5518500711882,1.2229857476156734,ladakh,winter,12,-18.2,213.125,14.5,8.451647471799955,3.9679197202323166,9.776968418227852,-1.303605,-0.4907,-0.8129049604415893
3.074325733311067,2.7670736852506637,3.1224446681367857,0.19189895582503774,0.331166106105085,east,insulated-composite,0.11445264332722925,0.02874881630614128,8,123.65416160062149,0.5838383572656547,ladakh,winter,12,-18.2,213.125,14.5,5.79213131465942,3.9609807908403907,16.615977203380236,-1.4159117,-0.655,-0.7609116744995117
3.1898146544838744,2.5488668460940875,2.561021835698802,0.3460033636392376,0.2841892669788259,east,rammed-earth,0.08668552010945421,0.0257334482890464,8,185.14480269627632,0.5962724140895043,ladakh,winter,12,-18.2,213.125,14.5,4.079884204042293,3.0567441437093694,9.632515443505447,-1.4407502,0.8306,-2.271350241279602
3.344629055285791,2.52485298691178,3.0459606177492375,0.26925428173496047,0.23847680635801213,south,insulated-composite,0.06559770014608007,0.0452577408825995,8,199.27507619088487,0.5684089817064832,ladakh,winter,12,-18.2,213.125,14.5,5.281241609385984,2.506324464575525,14.533910834492362,-1.4433175,0.2202,-1.6635175325393676
3.1459735611987485,2.525036654133523,2.6654323245688887,0.41535357505646,0.22210543808995498,north,rammed-earth,0.11856660385023941,0.019235803911700634,8,157.97605723503585,1.4183530713379298,ladakh,winter,12,-18.2,213.125,14.5,5.259512656429051,3.923080116773097,8.800176976291022,-1.4542495,0.481,-1.9352495012283324
3.1723714551387214,2.782065532654261,2.422231452601136,0.23770365311882813,0.3003993587236695,north,rammed-earth,0.14892036288553134,0.011137135326236669,8,167.08251828292123,0.5351631594239945,ladakh,winter,12,-18.2,213.125,14.5,5.467369738540207,4.86007616421253,11.955668526960899,-1.5059224,0.1641,-1.6700224367141723
